Comp,Att,Pct,Yds,Avg,Lng,TD,Int,Sck,Rate
226,403,56.1,2965,7.4,88,23,10,4,131.7
233,368,63.3,2955,8.0,81,16,10,30,139.7
266,472,56.4,2919,6.2,62,16,13,26,114.0
211,335,63.0,2884,8.6,81,21,10,23,150.0
375,552,67.9,4830,8.8,75,49,10,19,167.1
392,617,63.5,4736,7.7,66,30,10,32,140.8
304,445,68.3,4454,10.0,80,42,4,31,181.7
270,420,64.3,4006,9.5,76,32,7,26,166.2
316,509,62.1,3973,7.8,92,35,7,26,147.6
305,467,65.3,3907,8.4,68,25,18,17,145.5
267,451,59.2,3903,8.7,77,40,13,21,155.4
301,492,61.2,3901,7.9,92,33,10,23,145.9
354,526,67.3,3873,7.4,90,32,11,19,145.0
270,428,63.1,3855,9.0,89,29,7,24,157.8
315,452,69.7,3826,8.5,87,39,5,32,167.1
313,540,58.0,3793,7.0,92,28,9,38,130.7
294,415,70.8,3696,8.9,78,23,14,26,157.2
270,451,59.9,3564,7.9,85,26,11,25,140.4
262,397,66.0,3501,8.8,70,22,7,31,154.8
252,391,64.5,3487,8.9,87,28,10,13,157.9
289,457,63.2,3476,7.6,74,30,16,28,141.8
244,396,61.6,3449,8.7,74,27,11,21,151.7
256,427,60.0,3445,8.1,78,29,14,27,143.6
250,368,67.9,3443,9.4,75,26,10,22,164.4
260,448,58.0,3436,7.7,84,30,13,19,138.8
241,437,55.1,3345,7.7,80,23,10,22,132.2
281,419,67.1,3285,7.8,79,18,10,26,142.3
259,429,60.4,3283,7.7,75,23,17,30,134.4
222,458,48.5,3280,7.2,74,23,9,43,121.3
269,432,62.3,3277,7.6,87,24,7,31,141.1
233,390,59.7,3254,8.3,83,31,13,12,149.4
212,365,58.1,3214,8.8,71,24,8,11,149.4
325,498,65.3,3200,6.4,75,28,15,18,131.8
221,378,58.5,3198,8.5,79,26,12,20,145.9
229,381,60.1,3194,8.4,83,22,14,31,142.2
301,501,60.1,3181,6.3,64,14,6,44,120.2
280,483,58.0,3173,6.6,82,15,12,20,118.4
282,453,62.3,3164,7.0,72,15,8,36,128.3
243,382,63.6,3157,8.3,65,27,13,28,149.5
271,392,69.1,3155,8.0,93,22,5,38,152.7
256,462,55.4,3102,6.7,84,23,17,24,120.9
270,428,63.1,3068,7.2,91,21,9,26,135.3
259,413,62.7,3031,7.3,54,22,9,15,137.6
270,484,55.8,2977,6.2,79,12,15,44,109.4
375,552,67.9,4830,8.8,75,49,10,19,167.1
392,617,63.5,4736,7.7,66,30,10,32,140.8
304,445,68.3,4454,10.0,80,42,4,31,181.7
270,420,64.3,4006,9.5,76,32,7,26,166.2
316,509,62.1,3973,7.8,92,35,7,26,147.6
305,467,65.3,3907,8.4,68,25,18,17,145.5
